WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
2.978474e-06,1.309677e-06,8.158503e-08,8.000000e-08,1.562106e-08,2.392726e-15,1.215308e-01,2.609951e-02,5.920624e-01,7.405530e-01
2.978474e-06,1.309677e-06,7.908417e-08,8.252982e-08,1.542190e-08,2.391236e-15,1.222445e-01,2.541745e-02,5.916844e-01,7.362297e-01
2.978462e-06,1.309646e-06,7.908386e-08,8.000000e-08,1.542197e-08,2.394689e-15,1.217379e-01,2.541769e-02,5.925606e-01,7.392930e-01
2.978473e-06,1.309674e-06,7.908414e-08,8.000000e-08,1.542194e-08,2.387579e-15,1.217378e-01,2.541759e-02,5.907561e-01,7.392938e-01
3.072661e-06,1.309674e-06,7.908414e-08,8.000000e-08,1.497363e-08,2.406004e-15,1.222136e-01,2.388230e-02,5.954325e-01,7.364155e-01
2.978473e-06,1.351089e-06,7.908414e-08,8.000000e-08,1.544036e-08,2.400464e-15,1.215279e-01,2.548067e-02,5.940265e-01,7.405708e-01
2.978473e-06,1.309674e-06,8.158500e-08,8.000000e-08,1.562106e-08,2.392725e-15,1.215308e-01,2.609952e-02,5.920623e-01,7.405529e-01
2.978473e-06,1.309674e-06,7.908414e-08,8.252982e-08,1.542190e-08,2.391236e-15,1.222445e-01,2.541746e-02,5.916842e-01,7.362296e-01
2.978472e-06,1.309671e-06,7.908411e-08,8.000000e-08,1.542194e-08,2.387578e-15,1.217378e-01,2.541760e-02,5.907559e-01,7.392937e-01
3.072659e-06,1.309671e-06,7.908411e-08,8.000000e-08,1.497363e-08,2.406003e-15,1.222136e-01,2.388231e-02,5.954323e-01,7.364154e-01
2.978472e-06,1.351086e-06,7.908411e-08,8.000000e-08,1.544036e-08,2.400464e-15,1.215279e-01,2.548068e-02,5.940264e-01,7.405707e-01
2.978472e-06,1.309671e-06,8.158497e-08,8.000000e-08,1.562106e-08,2.392725e-15,1.215308e-01,2.609953e-02,5.920621e-01,7.405528e-01
2.978472e-06,1.309671e-06,7.908411e-08,8.252982e-08,1.542190e-08,2.391235e-15,1.222445e-01,2.541747e-02,5.916841e-01,7.362296e-01
2.978471e-06,1.309667e-06,7.908408e-08,8.000000e-08,1.542194e-08,2.387578e-15,1.217378e-01,2.541761e-02,5.907558e-01,7.392936e-01
3.072658e-06,1.309667e-06,7.908408e-08,8.000000e-08,1.497364e-08,2.406003e-15,1.222136e-01,2.388231e-02,5.954322e-01,7.364154e-01
2.978471e-06,1.351083e-06,7.908408e-08,8.000000e-08,1.544036e-08,2.400463e-15,1.215279e-01,2.548069e-02,5.940262e-01,7.405707e-01
