WP             ,WN             ,LP             ,LN             ,energy         ,delay          ,n_energy       ,n_delay        
1.151453e-06   ,7.328019e-07   ,4.269345e-08   ,6.502279e-08   ,7.815708e-15   ,3.097889e-08   ,2.839878e-01   ,3.496482e-01   
1.151417e-06   ,7.328251e-07   ,4.269345e-08   ,6.502279e-08   ,7.815655e-15   ,3.097898e-08   ,2.839856e-01   ,3.496497e-01   
1.151417e-06   ,7.328019e-07   ,4.269480e-08   ,6.502279e-08   ,7.815485e-15   ,3.097999e-08   ,2.839786e-01   ,3.496665e-01   
1.151417e-06   ,7.328019e-07   ,4.269345e-08   ,6.502484e-08   ,7.815595e-15   ,3.097905e-08   ,2.839831e-01   ,3.496509e-01   
1.151306e-06   ,7.327827e-07   ,4.268391e-08   ,6.502176e-08   ,7.815716e-15   ,3.097272e-08   ,2.839882e-01   ,3.495453e-01   
1.151342e-06   ,7.327827e-07   ,4.268391e-08   ,6.502176e-08   ,7.815836e-15   ,3.097258e-08   ,2.839932e-01   ,3.495430e-01   
1.151306e-06   ,7.328059e-07   ,4.268391e-08   ,6.502176e-08   ,7.815784e-15   ,3.097266e-08   ,2.839910e-01   ,3.495444e-01   
1.151306e-06   ,7.327827e-07   ,4.268526e-08   ,6.502176e-08   ,7.815637e-15   ,3.097367e-08   ,2.839849e-01   ,3.495612e-01   
1.151306e-06   ,7.327827e-07   ,4.268391e-08   ,6.502382e-08   ,7.815723e-15   ,3.097274e-08   ,2.839885e-01   ,3.495456e-01   
1.151083e-06   ,7.327443e-07   ,4.266321e-08   ,6.501972e-08   ,6.117484e-15   ,nan            ,2.132285e-01   ,nan            
1.151284e-06   ,7.327789e-07   ,4.268184e-08   ,6.502156e-08   ,7.815751e-15   ,3.097134e-08   ,2.839896e-01   ,3.495223e-01   
1.151320e-06   ,7.327789e-07   ,4.268184e-08   ,6.502156e-08   ,7.815874e-15   ,3.097133e-08   ,2.839948e-01   ,3.495221e-01   
1.151284e-06   ,7.328020e-07   ,4.268184e-08   ,6.502156e-08   ,7.815819e-15   ,3.097129e-08   ,2.839925e-01   ,3.495214e-01   
1.151284e-06   ,7.327789e-07   ,4.268319e-08   ,6.502156e-08   ,7.815673e-15   ,3.097230e-08   ,2.839864e-01   ,3.495383e-01   
1.151284e-06   ,7.327789e-07   ,4.268184e-08   ,6.502361e-08   ,7.815762e-15   ,3.097152e-08   ,2.839901e-01   ,3.495253e-01   
1.151211e-06   ,7.327720e-07   ,4.267815e-08   ,6.501970e-08   ,7.815702e-15   ,3.096909e-08   ,2.839876e-01   ,3.494848e-01   
1.151247e-06   ,7.327720e-07   ,4.267815e-08   ,6.501970e-08   ,6.117230e-15   ,nan            ,2.132179e-01   ,nan            
1.151211e-06   ,7.327952e-07   ,4.267815e-08   ,6.501970e-08   ,7.815771e-15   ,3.096910e-08   ,2.839904e-01   ,3.494850e-01   
1.151211e-06   ,7.327720e-07   ,4.267950e-08   ,6.501970e-08   ,7.815621e-15   ,3.096995e-08   ,2.839842e-01   ,3.494991e-01   
1.151211e-06   ,7.327720e-07   ,4.267815e-08   ,6.502175e-08   ,6.117126e-15   ,nan            ,2.132136e-01   ,nan            
1.151211e-06   ,7.327720e-07   ,4.267815e-08   ,6.502175e-08   ,6.117126e-15   ,nan            ,2.132136e-01   ,nan            
