WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
1.972070e-06,5.540900e-07,7.399201e-08,7.990198e-08,3.250073e-08,2.384872e-15,1.255588e-01,8.390662e-02,5.900689e-01,7.167957e-01
1.972070e-06,5.540900e-07,7.172390e-08,8.242870e-08,3.289850e-08,2.390995e-15,1.261249e-01,8.526882e-02,5.916230e-01,7.135786e-01
1.963938e-06,5.534038e-07,7.170248e-08,7.973060e-08,3.250879e-08,2.382575e-15,1.259297e-01,8.393420e-02,5.894860e-01,7.146842e-01
1.968965e-06,5.538282e-07,7.171573e-08,7.983656e-08,3.250445e-08,2.383353e-15,1.259925e-01,8.391936e-02,5.896835e-01,7.143282e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
2.032956e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.260868e-08,2.400748e-15,1.263285e-01,8.427631e-02,5.940985e-01,7.124285e-01
1.970639e-06,5.714874e-07,7.172014e-08,7.987184e-08,3.195333e-08,2.387817e-15,1.256688e-01,8.203196e-02,5.908166e-01,7.161684e-01
1.970639e-06,5.539694e-07,7.398813e-08,7.987184e-08,3.250192e-08,2.384500e-15,1.255414e-01,8.391068e-02,5.899746e-01,7.168948e-01
1.970639e-06,5.539694e-07,7.172014e-08,8.239761e-08,3.289866e-08,2.391961e-15,1.261174e-01,8.526938e-02,5.918683e-01,7.136210e-01
1.969203e-06,5.538479e-07,7.171631e-08,7.983784e-08,3.250421e-08,2.383365e-15,1.259951e-01,8.391852e-02,5.896867e-01,7.143135e-01
1.970122e-06,5.539256e-07,7.171876e-08,7.985960e-08,3.250346e-08,2.383397e-15,1.260027e-01,8.391597e-02,5.896947e-01,7.142704e-01
1.970424e-06,5.539511e-07,7.171956e-08,7.986674e-08,3.250322e-08,2.383415e-15,1.260042e-01,8.391514e-02,5.896993e-01,7.142618e-01
1.970550e-06,5.539618e-07,7.171990e-08,7.986973e-08,3.250312e-08,2.383422e-15,1.260049e-01,8.391480e-02,5.897011e-01,7.142582e-01
1.970602e-06,5.539662e-07,7.172004e-08,7.987096e-08,3.250308e-08,2.383425e-15,1.260051e-01,8.391465e-02,5.897018e-01,7.142567e-01
1.970624e-06,5.539681e-07,7.172010e-08,7.987147e-08,3.250306e-08,2.383426e-15,1.260052e-01,8.391459e-02,5.897021e-01,7.142560e-01
1.970633e-06,5.539688e-07,7.172012e-08,7.987169e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391457e-02,5.897023e-01,7.142558e-01
1.970636e-06,5.539691e-07,7.172013e-08,7.987178e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391456e-02,5.897023e-01,7.142557e-01
1.970638e-06,5.539693e-07,7.172014e-08,7.987181e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539693e-07,7.172014e-08,7.987183e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539693e-07,7.172014e-08,7.987183e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
2.032956e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.260868e-08,2.400748e-15,1.263285e-01,8.427631e-02,5.940985e-01,7.124285e-01
1.970639e-06,5.714874e-07,7.172014e-08,7.987184e-08,3.195333e-08,2.387817e-15,1.256688e-01,8.203196e-02,5.908166e-01,7.161684e-01
1.970639e-06,5.539694e-07,7.398813e-08,7.987184e-08,3.250192e-08,2.384500e-15,1.255414e-01,8.391068e-02,5.899746e-01,7.168948e-01
1.970639e-06,5.539694e-07,7.172014e-08,8.239761e-08,3.289866e-08,2.391961e-15,1.261174e-01,8.526938e-02,5.918683e-01,7.136210e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
1.970639e-06,5.539694e-07,7.172014e-08,7.987184e-08,3.250305e-08,2.383427e-15,1.260053e-01,8.391455e-02,5.897024e-01,7.142556e-01
