WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
1.912466e-06,1.389050e-07,8.143514e-08,8.000000e-08,1.271908e-06,2.325976e-15,1.295998e-01,4.328452e+00,5.751208e-01,6.944456e-01
1.912466e-06,1.389050e-07,7.893888e-08,8.252982e-08,1.271648e-06,2.329255e-15,1.297208e-01,4.327561e+00,5.759531e-01,6.937979e-01
1.865226e-06,1.459936e-07,7.894702e-08,8.000000e-08,1.272170e-06,2.320195e-15,1.291104e-01,4.329350e+00,5.736537e-01,6.970778e-01
1.895349e-06,1.415131e-07,7.894185e-08,8.000000e-08,1.271833e-06,2.325954e-15,1.296064e-01,4.328195e+00,5.751152e-01,6.944102e-01
1.955285e-06,1.415131e-07,7.894185e-08,8.000000e-08,1.271213e-06,2.340303e-15,1.291227e-01,4.326071e+00,5.787571e-01,6.970116e-01
1.895349e-06,1.459882e-07,7.894185e-08,8.000000e-08,1.271842e-06,2.327210e-15,1.294164e-01,4.328226e+00,5.754339e-01,6.954294e-01
1.895349e-06,1.415131e-07,8.143821e-08,8.000000e-08,1.272097e-06,2.324321e-15,1.293135e-01,4.329099e+00,5.747008e-01,6.959833e-01
1.895349e-06,1.415131e-07,7.894185e-08,8.252982e-08,1.271835e-06,2.326229e-15,1.296791e-01,4.328200e+00,5.751851e-01,6.940211e-01
1.880451e-06,1.309713e-07,7.892750e-08,8.000000e-08,1.271970e-06,2.319350e-15,1.294215e-01,4.328666e+00,5.734390e-01,6.954023e-01
1.939916e-06,1.309713e-07,7.892750e-08,8.000000e-08,1.271346e-06,2.333778e-15,1.288241e-01,4.326526e+00,5.771011e-01,6.986269e-01
1.880451e-06,1.351130e-07,7.892750e-08,8.000000e-08,1.271979e-06,2.319362e-15,1.296084e-01,4.328695e+00,5.734423e-01,6.943995e-01
1.880451e-06,1.309713e-07,8.142341e-08,8.000000e-08,1.272236e-06,2.317567e-15,1.296149e-01,4.329576e+00,5.729865e-01,6.943646e-01
1.880451e-06,1.309713e-07,7.892750e-08,8.252982e-08,1.271972e-06,2.324187e-15,1.297071e-01,4.328671e+00,5.746669e-01,6.938708e-01
1.871213e-06,1.352821e-07,7.892966e-08,8.000000e-08,1.272080e-06,2.317431e-15,1.296253e-01,4.329042e+00,5.729520e-01,6.943088e-01
1.930386e-06,1.352821e-07,7.892966e-08,8.000000e-08,1.271452e-06,2.331125e-15,1.291003e-01,4.326890e+00,5.764276e-01,6.971325e-01
1.871213e-06,1.395601e-07,7.892966e-08,8.000000e-08,1.272089e-06,2.319817e-15,1.294402e-01,4.329072e+00,5.735575e-01,6.953019e-01
1.871213e-06,1.352821e-07,8.142563e-08,8.000000e-08,1.272347e-06,2.315792e-15,1.293313e-01,4.329956e+00,5.725360e-01,6.958872e-01
1.871213e-06,1.352821e-07,7.892966e-08,8.252982e-08,1.272082e-06,2.317800e-15,1.296919e-01,4.329047e+00,5.730458e-01,6.939524e-01
1.865167e-06,1.300616e-07,7.892391e-08,8.000000e-08,1.272135e-06,2.316203e-15,1.295427e-01,4.329231e+00,5.726404e-01,6.947516e-01
1.868542e-06,1.329761e-07,7.892712e-08,8.000000e-08,1.272105e-06,2.315433e-15,1.296400e-01,4.329125e+00,5.724449e-01,6.942304e-01
1.927630e-06,1.329761e-07,7.892712e-08,8.000000e-08,1.271475e-06,2.336173e-15,1.290282e-01,4.326971e+00,5.777089e-01,6.975221e-01
1.868542e-06,1.371812e-07,7.892712e-08,8.000000e-08,1.272113e-06,2.323177e-15,1.295147e-01,4.329155e+00,5.744103e-01,6.949020e-01
1.868542e-06,1.329761e-07,8.142301e-08,8.000000e-08,1.272372e-06,2.313796e-15,1.294027e-01,4.330041e+00,5.720295e-01,6.955031e-01
1.868542e-06,1.329761e-07,7.892712e-08,8.252982e-08,1.272106e-06,2.316321e-15,1.297640e-01,4.329131e+00,5.726704e-01,6.935668e-01
1.865679e-06,1.310593e-07,7.892561e-08,8.000000e-08,1.272132e-06,2.315804e-15,1.295831e-01,4.329219e+00,5.725390e-01,6.945351e-01
1.867459e-06,1.322513e-07,7.892655e-08,8.000000e-08,1.272115e-06,2.321737e-15,1.296185e-01,4.329161e+00,5.740449e-01,6.943455e-01
1.868408e-06,1.328863e-07,7.892705e-08,8.000000e-08,1.272106e-06,2.315343e-15,1.296373e-01,4.329130e+00,5.724220e-01,6.942447e-01
1.927492e-06,1.328863e-07,7.892705e-08,8.000000e-08,1.271477e-06,2.336106e-15,1.290257e-01,4.326975e+00,5.776919e-01,6.975356e-01
1.868408e-06,1.370885e-07,7.892705e-08,8.000000e-08,1.272115e-06,2.323095e-15,1.295173e-01,4.329159e+00,5.743895e-01,6.948881e-01
1.868408e-06,1.328863e-07,8.142294e-08,8.000000e-08,1.272373e-06,2.320597e-15,1.294052e-01,4.330045e+00,5.737556e-01,6.954898e-01
1.868408e-06,1.328863e-07,7.892705e-08,8.252982e-08,1.272107e-06,2.316077e-15,1.297665e-01,4.329135e+00,5.726083e-01,6.935534e-01
1.868340e-06,1.328417e-07,7.892698e-08,8.000000e-08,1.272107e-06,2.322191e-15,1.296360e-01,4.329132e+00,5.741601e-01,6.942518e-01
1.868401e-06,1.328818e-07,7.892704e-08,8.000000e-08,1.272106e-06,2.315338e-15,1.296372e-01,4.329130e+00,5.724209e-01,6.942454e-01
1.927485e-06,1.328818e-07,7.892704e-08,8.000000e-08,1.271477e-06,2.336103e-15,1.290256e-01,4.326975e+00,5.776910e-01,6.975362e-01
1.868401e-06,1.370839e-07,7.892704e-08,8.000000e-08,1.272115e-06,2.323091e-15,1.295174e-01,4.329160e+00,5.743885e-01,6.948874e-01
1.868401e-06,1.328818e-07,8.142293e-08,8.000000e-08,1.272373e-06,2.320594e-15,1.294053e-01,4.330045e+00,5.737547e-01,6.954891e-01
1.868401e-06,1.328818e-07,7.892704e-08,8.252982e-08,1.272108e-06,2.316060e-15,1.297666e-01,4.329135e+00,5.726041e-01,6.935528e-01
1.868398e-06,1.328796e-07,7.892704e-08,8.000000e-08,1.272106e-06,2.315336e-15,1.296371e-01,4.329130e+00,5.724203e-01,6.942457e-01
1.927482e-06,1.328796e-07,7.892704e-08,8.000000e-08,1.271477e-06,2.336101e-15,1.290255e-01,4.326975e+00,5.776906e-01,6.975366e-01
1.868398e-06,1.370816e-07,7.892704e-08,8.000000e-08,1.272115e-06,2.323089e-15,1.295175e-01,4.329160e+00,5.743880e-01,6.948870e-01
1.868398e-06,1.328796e-07,8.142293e-08,8.000000e-08,1.272373e-06,2.320592e-15,1.294054e-01,4.330045e+00,5.737543e-01,6.954888e-01
1.868398e-06,1.328796e-07,7.892704e-08,8.252982e-08,1.272108e-06,2.316052e-15,1.297667e-01,4.329135e+00,5.726021e-01,6.935524e-01
